0.421152,-0.90699
0.310582,-0.950546
0.197904,-0.980221
0.0848769,-0.996391
-0.0268926,-0.999638
-0.135968,-0.990713
-0.241089,-0.970503
-0.34118,-0.939998
-0.435354,-0.900259
-0.522907,-0.85239
-0.603301,-0.797513
-0.676173,-0.736742
-0.741304,-0.67117
-0.798616,-0.601841
-0.848153,-0.529751
-0.890069,-0.455827
-0.924608,-0.38092
-0.952093,-0.305807
-0.97291,-0.231183
-0.987494,-0.157656
-0.996316,-0.0857559
-0.999873,-0.0159351
-0.998676,0.0514346
-0.993243,0.116049
-0.984089,0.177675
-0.97172,0.236137
-0.956627,0.291316
-0.939283,0.343142
-0.92014,0.39159
-0.899621,0.436672
-0.878125,0.478432
-0.856023,0.516938
-0.833657,0.552283
-0.81134,0.584575
-0.789357,0.613934
-0.767968,0.640488
-0.747404,0.66437
-0.727871,0.685714
-0.709553,0.704652
-0.692612,0.721311
-0.677186,0.735812
-0.663398,0.748267
-0.651349,0.758779
-0.641125,0.767436
-0.632797,0.774318
-0.626419,0.779487
-0.622032,0.782992
-0.619665,0.784866
-0.619332,0.785129
-0.621036,0.783782
-0.624765,0.780813
-0.630497,0.776191
-0.638194,0.769875
-0.647808,0.761804
-0.659271,0.751905
-0.672505,0.740093
-0.687412,0.726268
-0.703877,0.710322
-0.721768,0.692135
-0.740929,0.671583
-0.761186,0.648534
-0.782338,0.622854
-0.804162,0.59441
-0.826409,0.56307
-0.848801,0.528712
-0.871035,0.491222
-0.892776,0.450502
-0.913662,0.406475
-0.933304,0.359087
-0.951285,0.308314
-0.967159,0.25417
-0.980462,0.19671
-0.990704,0.136034
-0.997383,0.0722983
-0.999984,0.00571859
-0.997987,-0.0634239
-0.990876,-0.13478
-0.978145,-0.207923
-0.959313,-0.282346
-0.933926,-0.357466
-0.901581,-0.43261
-0.86193,-0.507027
-0.814698,-0.579885
-0.759699,-0.650275
-0.696851,-0.717216
-0.626188,-0.779672
-0.547881,-0.836556
-0.462248,-0.886751
-0.369768,-0.929124
-0.271098,-0.962552
-0.167069,-0.985945
-0.0587037,-0.998275
0.052786,-0.998606
0.166006,-0.986125
0.279383,-0.96018
0.391187,-0.920311
0.310576,-0.950549
0.195318,-0.98074
0.0796303,-0.996824
-0.0347748,-0.999395
-0.146364,-0.989231
-0.253794,-0.967258
-0.355921,-0.934516
-0.45179,-0.892124
-0.540646,-0.84125
-0.621919,-0.783082
-0.695216,-0.718801
-0.760306,-0.649565
-0.817107,-0.576487
-0.865667,-0.500621
-0.906153,-0.422951
-0.93883,-0.344381
-0.964046,-0.265734
-0.982219,-0.187739
-0.993816,-0.111041
-0.999345,-0.0361963
-0.99934,0.0363274
-0.994351,0.106141
-0.984933,0.172937
-0.971638,0.236475
-0.955006,0.296587
-0.935564,0.353158
-0.913814,0.406133
-0.890236,0.4555
-0.865281,0.501287
-0.839371,0.543559
-0.812896,0.582409
-0.786216,0.617951
-0.759661,0.650319
-0.733529,0.679658
-0.708089,0.706123
-0.683582,0.729874
-0.660222,0.751071
-0.638199,0.769872
-0.617678,0.786431
-0.598805,0.800895
-0.581703,0.813401
-0.566479,0.824076
-0.553223,0.833033
-0.542007,0.840374
-0.532894,0.846182
-0.525929,0.850529
-0.521147,0.853467
-0.518571,0.855034
-0.518216,0.85525
-0.520081,0.854117
-0.524159,0.851621
-0.530429,0.847729
-0.538861,0.842395
-0.549411,0.835552
-0.562024,0.827121
-0.576631,0.817004
-0.593148,0.805093
-0.611473,0.791265
-0.63149,0.775384
-0.653058,0.757308
-0.676019,0.736884
-0.700193,0.713954
-0.725372,0.688357
-0.751324,0.659933
-0.777789,0.628525
-0.804477,0.593983
-0.831069,0.556169
-0.857214,0.51496
-0.882529,0.470257
-0.906603,0.421984
-0.928992,0.3701
-0.949224,0.314602
-0.966801,0.255532
-0.981202,0.192985
-0.991889,0.127109
-0.998309,0.0581246
-0.999906,-0.013684
-0.996125,-0.0879541
-0.986421,-0.164239
-0.970274,-0.242011
-0.947197,-0.320651
-0.916755,-0.39945
-0.878571,-0.477612
-0.832349,-0.554253
-0.777887,-0.628404
-0.715095,-0.699027
-0.644011,-0.765016
-0.564816,-0.825217
-0.477852,-0.87844
-0.383637,-0.923484
-0.282872,-0.959158
-0.176452,-0.984309
-0.0654755,-0.997854
0.0487622,-0.99881
0.164764,-0.986333
0.280854,-0.95975
0.197891,-0.980224
0.0796237,-0.996825
-0.0374055,-0.9993
-0.151561,-0.988448
-0.261403,-0.96523
-0.365703,-0.930732
-0.46344,-0.886128
-0.553799,-0.83265
-0.636166,-0.771552
-0.710114,-0.704087
-0.775391,-0.631482
-0.831906,-0.554917
-0.87971,-0.475511
-0.918977,-0.39431
-0.949992,-0.312275
-0.973126,-0.230274
-0.988825,-0.149083
-0.99759,-0.0693826
-0.999966,0.00824219
-0.996525,0.0832995
-0.987854,0.155385
-0.974548,0.22418
-0.957195,0.289443
-0.936375,0.351002
-0.912645,0.408752
-0.886543,0.462646
-0.858576,0.512686
-0.829223,0.558917
-0.798929,0.601425
-0.768106,0.640323
-0.737131,0.67575
-0.70635,0.707863
-0.676072,0.736836
-0.646579,0.762847
-0.618117,0.786086
-0.59091,0.806737
-0.56515,0.824988
-0.541007,0.841018
-0.518626,0.855001
-0.498135,0.867099
-0.47964,0.877465
-0.463232,0.886237
-0.448986,0.893539
-0.436963,0.899479
-0.427213,0.904151
-0.419775,0.907628
-0.414676,0.909969
-0.411936,0.911213
-0.411564,0.911381
-0.413562,0.910476
-0.417923,0.908483
-0.42463,0.905367
-0.43366,0.901077
-0.444977,0.895542
-0.458534,0.888677
-0.474277,0.880376
-0.492133,0.87052
-0.512016,0.858976
-0.533826,0.845594
-0.557443,0.830215
-0.582726,0.812668
-0.609514,0.792775
-0.637622,0.77035
-0.666835,0.745205
-0.696915,0.717154
-0.727591,0.686011
-0.758561,0.651602
-0.789491,0.613762
-0.820013,0.572346
-0.849723,0.527229
-0.878187,0.478317
-0.904934,0.425551
-0.929464,0.368913
-0.951245,0.308435
-0.969724,0.244202
-0.984325,0.176366
-0.994457,0.105143
-0.999525,0.0308309
-0.998933,-0.0461919
-0.992099,-0.12546
-0.978465,-0.206414
-0.95751,-0.2884
-0.928766,-0.370667
-0.891831,-0.452369
-0.846389,-0.532566
-0.792227,-0.610227
-0.72925,-0.684247
-0.657504,-0.753451
-0.577188,-0.816611
-0.488678,-0.872464
-0.392531,-0.919739
